"id","chapter","name","scene","roundCount","spawnCount","distinctMonsterCount","maxRoundAttackMultiple","maxRoundHpMultiple","effectiveAttackLoad","effectiveHpLoad","difficultyProxy","homeHp","enemyHomeHp","enemyHomeGold","recommendedHeroes","monsters"
"1039","39","初见火山","image/unpack/fightscene/fightscene_04","15","276","6","130825","203844","142049.9627","668102.5875","308064.8433","500","22030","1440","H14:鲨鱼齿轮;H13:火炮齿轮","B02:惊乍怪x1;Boss01:巨型莱莱姆x1;Boss03:精英僵僵猫x1;M01:莱莱姆x160;M03:僵僵猫x69;M05:火火炉x44"
"1040","40","火山熔岩","image/unpack/fightscene/fightscene_04","15","290","6","130825","203844","153366.0981","741760.5566","337284.631","500","22330","1470","H06:仓鼠飞行员;H13:火炮齿轮","B01:大恶魔x1;Boss02:精英云云猪x1;Boss09:巨型恶魔犬x1;M02:云云猪x180;M05:火火炉x50;M09:恶魔犬x57"
"1041","41","宁静森林","image/unpack/fightscene/fightscene_01","15","249","6","130825","203844","140119.4331","858238.6832","346779.3502","500","22640","1500","H06:仓鼠飞行员;H01:仓鼠战士","B03:冰岩国王x1;Boss02:精英云云猪x1;Boss09:巨型恶魔犬x1;M02:云云猪x103;M04:冰坨坨x52;M09:恶魔犬x91"
"1042","42","密林深处","image/unpack/fightscene/fightscene_01","15","249","6","130825","203844","144300.2198","888637.8169","358093.0498","500","22950","1530","H01:仓鼠战士;H02:仓鼠射手","B01:大恶魔x1;Boss06:精英冰冰狗x1;Boss09:巨型恶魔犬x1;M04:冰坨坨x52;M06:冰冰狗x118;M09:恶魔犬x76"
"1043","43","荒漠边缘","image/unpack/fightscene/fightscene_03","15","249","6","130825","203844","137897.3255","767953.747","325420.9087","500","23260","1560","H16:仓鼠怪兽;H11:治疗齿轮","B03:冰岩国王x1;Boss07:精英鬼鬼羊x1;Boss14:巨型厄厄怪x1;M04:冰坨坨x52;M05:火火炉x118;M14:厄厄怪x76"
"1044","44","荒漠沙地","image/unpack/fightscene/fightscene_03","15","296","6","130825","203844","164474.555","982533.7246","401997.2601","500","23580","1590","H16:仓鼠怪兽;H01:仓鼠战士","B03:冰岩国王x1;Boss06:精英冰冰狗x1;Boss14:巨型厄厄怪x1;M06:冰冰狗x165;M12:先锋狼x32;M14:厄厄怪x96"
"1045","45","雪山脚下","image/unpack/fightscene/fightscene_02","15","226","6","130825","203844","128086.3429","1330033.3737","412745.8185","500","23900","1620","H16:仓鼠怪兽;H03:仓鼠法师","B03:冰岩国王x1;Boss07:精英鬼鬼羊x1;Boss14:巨型厄厄怪x1;M04:冰坨坨x71;M12:先锋狼x79;M13:爆爆虫x73"
"1046","46","无尽雪山","image/unpack/fightscene/fightscene_02","15","296","6","130825","203844","163586.9573","638861.9669","323279.2683","500","24230","1650","H17:镭射齿轮;H06:仓鼠飞行员","Boss02:精英云云猪x1;Boss03:精英僵僵猫x1;Boss10:精英脏脏蛇x1;M02:云云猪x107;M03:僵僵猫x105;M10:脏脏蛇x81"
"1047","47","青绿草原","image/unpack/fightscene/fightscene_01","15","296","6","130825","203844","189717.5294","860337.8133","404006.3915","500","24560","1680","H17:镭射齿轮;H04:仓鼠骑士","Boss01:巨型莱莱姆x1;Boss10:精英脏脏蛇x1;Boss11:精英海马狼x1;M01:莱莱姆x107;M10:脏脏蛇x81;M11:海马狼x105"
"1048","48","草原咆哮","image/unpack/fightscene/fightscene_01","15","296","5","130825","203844","157747.5234","1234859.3201","441356.9978","500","24900","1710","H17:镭射齿轮;H05:仓鼠召唤师","Boss10:精英脏脏蛇x1;Boss11:精英海马狼x2;M10:脏脏蛇x81;M11:海马狼x107;M12:先锋狼x105"
"1049","49","初见火山","image/unpack/fightscene/fightscene_04","15","321","6","130825","203844","213190.5293","953890.5561","450955.0228","500","25240","1740","H03:仓鼠法师;H12:雷云齿轮","Boss02:精英云云猪x1;Boss03:精英僵僵猫x1;Boss07:精英鬼鬼羊x1;M02:云云猪x220;M03:僵僵猫x41;M07:鬼鬼羊x57"
"1050","50","火山熔岩","image/unpack/fightscene/fightscene_04","15","267","6","130825","203844","173105.5232","990417.3582","414061.2454","500","25590","1770","H11:治疗齿轮;H02:仓鼠射手","Boss02:精英云云猪x1;Boss03:精英僵僵猫x1;Boss07:精英鬼鬼羊x1;M02:云云猪x174;M03:僵僵猫x56;M12:先锋狼x34"
"1051","51","宁静森林","image/unpack/fightscene/fightscene_01","15","276","5","130825","203844","193757.2453","1181028.0145","478364.6462","500","25940","1800","H05:仓鼠召唤师;H04:仓鼠骑士","Boss02:精英云云猪x2;Boss07:精英鬼鬼羊x1;M02:云云猪x193;M12:先锋狼x30;M13:爆爆虫x50"
"1052","52","密林深处","image/unpack/fightscene/fightscene_01","15","276","4","130825","203844","183374.2155","1346848.9549","496968.1785","500","26190","1830","H05:仓鼠召唤师;H03:仓鼠法师","Boss11:精英海马狼x3;M11:海马狼x139;M12:先锋狼x67;M13:爆爆虫x67"
"1053","53","荒漠边缘","image/unpack/fightscene/fightscene_03","15","291","5","130825","203844","214691.3533","1050698.7317","474948.3473","500","26440","1860","H14:鲨鱼齿轮;H12:雷云齿轮","Boss01:巨型莱莱姆x2;Boss03:精英僵僵猫x1;M01:莱莱姆x182;M03:僵僵猫x48;M13:爆爆虫x58"
"1054","54","荒漠沙地","image/unpack/fightscene/fightscene_03","15","276","6","130825","203844","196839.1357","881067.6185","416447.582","500","26690","1890","H14:鲨鱼齿轮;H13:火炮齿轮","B02:惊乍怪x1;Boss01:巨型莱莱姆x1;Boss03:精英僵僵猫x1;M01:莱莱姆x160;M03:僵僵猫x69;M05:火火炉x44"
"1055","55","雪山脚下","image/unpack/fightscene/fightscene_02","15","290","6","130825","203844","211504.8311","973779.7543","453827.1945","500","26950","1920","H06:仓鼠飞行员;H13:火炮齿轮","B01:大恶魔x1;Boss02:精英云云猪x1;Boss09:巨型恶魔犬x1;M02:云云猪x180;M05:火火炉x50;M09:恶魔犬x57"
"1056","56","无尽雪山","image/unpack/fightscene/fightscene_02","15","249","6","130825","203844","192320.4589","1121617.2444","464445.8452","500","27200","1950","H06:仓鼠飞行员;H01:仓鼠战士","B03:冰岩国王x1;Boss02:精英云云猪x1;Boss09:巨型恶魔犬x1;M02:云云猪x103;M04:冰坨坨x52;M09:恶魔犬x91"
"1057","57","青绿草原","image/unpack/fightscene/fightscene_01","15","249","6","130825","203844","197114.4899","1213881.6572","489156.0729","500","27460","1980","H01:仓鼠战士;H02:仓鼠射手","B01:大恶魔x1;Boss06:精英冰冰狗x1;Boss09:巨型恶魔犬x1;M04:冰坨坨x52;M06:冰冰狗x118;M09:恶魔犬x76"
"1058","58","草原咆哮","image/unpack/fightscene/fightscene_01","15","249","6","130825","203844","196363.9713","1093555.9991","463395.0786","500","27730","2010","H16:仓鼠怪兽;H11:治疗齿轮","B03:冰岩国王x1;Boss07:精英鬼鬼羊x1;Boss14:巨型厄厄怪x1;M04:冰坨坨x52;M05:火火炉x118;M14:厄厄怪x76"
"1059","59","初见火山","image/unpack/fightscene/fightscene_04","15","296","6","130825","203844","233046.2463","1392165.4715","569595.4155","500","27990","2040","H16:仓鼠怪兽;H01:仓鼠战士","B03:冰岩国王x1;Boss06:精英冰冰狗x1;Boss14:巨型厄厄怪x1;M06:冰冰狗x165;M12:先锋狼x32;M14:厄厄怪x96"
"1060","60","火山熔岩","image/unpack/fightscene/fightscene_04","15","226","6","130825","203844","179632.1386","1865278.7957","578847.1467","500","28260","2070","H16:仓鼠怪兽;H03:仓鼠法师","B03:冰岩国王x1;Boss07:精英鬼鬼羊x1;Boss14:巨型厄厄怪x1;M04:冰坨坨x71;M12:先锋狼x79;M13:爆爆虫x73"
"1061","61","宁静森林","image/unpack/fightscene/fightscene_01","15","296","6","130825","203844","228296.5922","891574.8074","451157.9438","500","28530","2100","H17:镭射齿轮;H06:仓鼠飞行员","Boss02:精英云云猪x1;Boss03:精英僵僵猫x1;Boss10:精英脏脏蛇x1;M02:云云猪x107;M03:僵僵猫x105;M10:脏脏蛇x81"
"1062","62","密林深处","image/unpack/fightscene/fightscene_01","15","296","6","130825","203844","248781.9547","1187557.0849","543546.4772","500","28760","2130","H17:镭射齿轮;H04:仓鼠骑士","Boss01:巨型莱莱姆x1;Boss10:精英脏脏蛇x1;Boss11:精英海马狼x1;M01:莱莱姆x107;M10:脏脏蛇x81;M11:海马狼x105"
"1063","63","荒漠边缘","image/unpack/fightscene/fightscene_03","15","296","5","130825","203844","205577.9795","1693536.9325","590045.6769","500","28990","2160","H17:镭射齿轮;H05:仓鼠召唤师","Boss10:精英脏脏蛇x1;Boss11:精英海马狼x2;M10:脏脏蛇x81;M11:海马狼x107;M12:先锋狼x105"
"1064","64","荒漠沙地","image/unpack/fightscene/fightscene_03","15","321","6","130825","203844","276115.7299","1299784.6328","599075.1059","500","29220","2190","H03:仓鼠法师;H12:雷云齿轮","Boss02:精英云云猪x1;Boss03:精英僵僵猫x1;Boss07:精英鬼鬼羊x1;M02:云云猪x220;M03:僵僵猫x41;M07:鬼鬼羊x57"
"1065","65","雪山脚下","image/unpack/fightscene/fightscene_02","15","267","6","130825","203844","222813.2469","1340880.1365","546594.7831","500","29450","2220","H11:治疗齿轮;H02:仓鼠射手","Boss02:精英云云猪x1;Boss03:精英僵僵猫x1;Boss07:精英鬼鬼羊x1;M02:云云猪x174;M03:僵僵猫x56;M12:先锋狼x34"
"1066","66","无尽雪山","image/unpack/fightscene/fightscene_02","15","276","5","130825","203844","247857.8188","1588645.6843","627501.5969","500","29690","2250","H05:仓鼠召唤师;H04:仓鼠骑士","Boss02:精英云云猪x2;Boss07:精英鬼鬼羊x1;M02:云云猪x193;M12:先锋狼x30;M13:爆爆虫x50"
"1067","67","青绿草原","image/unpack/fightscene/fightscene_01","15","276","4","130825","203844","234081.2972","1807465.9166","650456.7368","500","29920","2280","H05:仓鼠召唤师;H03:仓鼠法师","Boss11:精英海马狼x3;M11:海马狼x139;M12:先锋狼x67;M13:爆爆虫x67"
"1068","68","草原咆哮","image/unpack/fightscene/fightscene_01","15","291","5","130825","203844","285379.9567","1406710.7286","633598.4903","500","30160","2310","H14:鲨鱼齿轮;H12:雷云齿轮","Boss01:巨型莱莱姆x2;Boss03:精英僵僵猫x1;M01:莱莱姆x182;M03:僵僵猫x48;M13:爆爆虫x58"
"1069","69","初见火山","image/unpack/fightscene/fightscene_04","15","276","6","130825","203844","261051.9894","1176862.6242","554276.4016","500","30400","2340","H14:鲨鱼齿轮;H13:火炮齿轮","B02:惊乍怪x1;Boss01:巨型莱莱姆x1;Boss03:精英僵僵猫x1;M01:莱莱姆x160;M03:僵僵猫x69;M05:火火炉x44"
"1070","70","火山熔岩","image/unpack/fightscene/fightscene_04","15","290","6","130825","203844","279870.4865","1297661.1785","602641.7388","500","30650","2370","H06:仓鼠飞行员;H13:火炮齿轮","B01:大恶魔x1;Boss02:精英云云猪x1;Boss09:巨型恶魔犬x1;M02:云云猪x180;M05:火火炉x50;M09:恶魔犬x57"
"1071","71","宁静森林","image/unpack/fightscene/fightscene_01","15","249","6","130825","203844","252863.0949","1484798.7107","612740.3996","500","30890","2400","H06:仓鼠飞行员;H01:仓鼠战士","B03:冰岩国王x1;Boss02:精英云云猪x1;Boss09:巨型恶魔犬x1;M02:云云猪x103;M04:冰坨坨x52;M09:恶魔犬x91"
"1072","72","密林深处","image/unpack/fightscene/fightscene_01","15","249","6","130825","203844","258585.8846","1526918.0668","628362.5219","500","31140","2430","H01:仓鼠战士;H02:仓鼠射手","B01:大恶魔x1;Boss06:精英冰冰狗x1;Boss09:巨型恶魔犬x1;M04:冰坨坨x52;M06:冰冰狗x118;M09:恶魔犬x76"
"1073","73","荒漠边缘","image/unpack/fightscene/fightscene_03","15","249","6","130825","203844","245396.4815","1310600.3724","567112.6167","500","31380","2460","H16:仓鼠怪兽;H11:治疗齿轮","B03:冰岩国王x1;Boss07:精英鬼鬼羊x1;Boss14:巨型厄厄怪x1;M04:冰坨坨x52;M05:火火炉x118;M14:厄厄怪x76"
"1074","74","荒漠沙地","image/unpack/fightscene/fightscene_03","15","296","6","130825","203844","290326.2033","1663550.7043","694962.1285","500","31600","2490","H16:仓鼠怪兽;H01:仓鼠战士","B03:冰岩国王x1;Boss06:精英冰冰狗x1;Boss14:巨型厄厄怪x1;M06:冰冰狗x165;M12:先锋狼x32;M14:厄厄怪x96"
"1075","75","雪山脚下","image/unpack/fightscene/fightscene_02","15","226","6","130825","203844","223080.0796","2222257.0657","704088.9739","500","31820","2520","H16:仓鼠怪兽;H03:仓鼠法师","B03:冰岩国王x1;Boss07:精英鬼鬼羊x1;Boss14:巨型厄厄怪x1;M04:冰坨坨x71;M12:先锋狼x79;M13:爆爆虫x73"
"1076","76","无尽雪山","image/unpack/fightscene/fightscene_02","15","296","6","130825","203844","282625.5372","1059050.2504","547096.5599","500","32030","2550","H17:镭射齿轮;H06:仓鼠飞行员","Boss02:精英云云猪x1;Boss03:精英僵僵猫x1;Boss10:精英脏脏蛇x1;M02:云云猪x107;M03:僵僵猫x105;M10:脏脏蛇x81"
"1077","77","青绿草原","image/unpack/fightscene/fightscene_01","15","296","6","130825","203844","307637.8356","1409052.2707","658390.3027","500","32250","2580","H17:镭射齿轮;H04:仓鼠骑士","Boss01:巨型莱莱姆x1;Boss10:精英脏脏蛇x1;Boss11:精英海马狼x1;M01:莱莱姆x107;M10:脏脏蛇x81;M11:海马狼x105"
"1078","78","草原咆哮","image/unpack/fightscene/fightscene_01","15","296","5","130825","203844","253818.1858","2006626.9212","713665.4712","500","32470","2610","H17:镭射齿轮;H05:仓鼠召唤师","Boss10:精英脏脏蛇x1;Boss11:精英海马狼x2;M10:脏脏蛇x81;M11:海马狼x107;M12:先锋狼x105"
"1079","79","初见火山","image/unpack/fightscene/fightscene_04","15","321","6","130825","203844","340383.1452","1537971.8644","723532.7915","500","32690","2640","H03:仓鼠法师;H12:雷云齿轮","Boss02:精英云云猪x1;Boss03:精英僵僵猫x1;Boss07:精英鬼鬼羊x1;M02:云云猪x220;M03:僵僵猫x41;M07:鬼鬼羊x57"
"1080","80","火山熔岩","image/unpack/fightscene/fightscene_04","15","267","6","130825","203844","274250.6595","1650428.1805","672778.5794","500","32920","2670","H11:治疗齿轮;H02:仓鼠射手","Boss02:精英云云猪x1;Boss03:精英僵僵猫x1;Boss07:精英鬼鬼羊x1;M02:云云猪x174;M03:僵僵猫x56;M12:先锋狼x34"
"1081","81","宁静森林","image/unpack/fightscene/fightscene_01","15","276","5","130825","203844","316745.0523","2030178.6839","801903.3941","500","33140","2700","H05:仓鼠召唤师;H04:仓鼠骑士","Boss02:精英云云猪x2;Boss07:精英鬼鬼羊x1;M02:云云猪x193;M12:先锋狼x30;M13:爆爆虫x50"
"1082","82","密林深处","image/unpack/fightscene/fightscene_01","15","276","4","130825","203844","298633.4209","2305907.1195","829831.8693","500","33370","2730","H05:仓鼠召唤师;H03:仓鼠法师","Boss11:精英海马狼x3;M11:海马狼x139;M12:先锋狼x67;M13:爆爆虫x67"
